title,authors,pdf_links,show_name,show_pdf
Co-Evolution or Co-Dependency? Reinforcing Bias in Long-Term Human-Agent Interactions.,Patricia Kahr,https://drive.google.com/file/d/1BlUmjchjOp8ByMN48k1F4noj23LVt0SW/view,TRUE,FALSE
Assessing Trust in Technology Across Cultures,Gabriela Beltrão,https://drive.google.com/file/d/1HIekMrEteFcj2ue0ie32cwEJn8WYhWur/view,TRUE,TRUE
Trust Calibration in High-Risk Decision Support Systems,Carlos Castillo,https://drive.google.com/file/d/10xYsrnPq3cXTgIbmdMqsfvTVq39lg3b7/view,TRUE,TRUE
Task-Aware Delegation Cues for LLM Agents,Xingrui Gu,https://drive.google.com/file/d/1GqxuY7UiuEvYsZAmGEuqek3wAexNCGGF/view,TRUE,TRUE
Why do we Trust Chatbots? From Normative Principles to Behavioral Drivers,"Aditya Gulati, Nuria Oliver",https://drive.google.com/file/d/1hhNshkkmaWLv1Fi39Y_W7V1nOzKwPDmM/view,TRUE,TRUE
Biases Behind Overtrust in AI: Critical Reflections On An Appropriate Mental Model Of LLMs,"Sarah Diefenbach, Daniel Ullrich, Marie Veihelmann",https://drive.google.com/file/d/1Xop9BLxSOknBALDhc-7wNSiohoRsPGJB/view,TRUE,TRUE
Biases in Teams: Exploring Group Cognitive Biases in Human–AI Collaboration,Yulu Pi ,https://drive.google.com/file/d/1AAUpxcAyxxvFxfGfjwUhX1UAAtwIfQVl/view,TRUE,TRUE
Understanding Biases in Human-AI Spatial Decision-Making via AR Visualizations,"Xianhao Carton Liu, Difan Jia, Tongyu Nie, Evan Suma Rosenberg, Victoria Interrante, Chen Zhu-Tian",https://drive.google.com/file/d/1Njg47GoEuk7y2ru9Ek3_4ILO59-dIpCo/view,TRUE,TRUE
Mitigating AI-induced Skill Erosion in Medical Experts,Thitaree Tanprasert,https://drive.google.com/file/d/1rr35mcPffJ9IRlNOLeQ3M-O5-UTEvE1q/view,TRUE,TRUE
Revisiting Cognitive Biases in Human-AI Interaction Through a Bayesian Perspective,Dasuni Ganepola,https://drive.google.com/file/d/1-u_LXsqN0Cq7ep39GmQfTkKHM9ZrE4Ox/view,TRUE,TRUE
